ID,text,labels
test_2,Why is  explained in the video take a look,0.0010069588
test_3,Ed Davey fasting for Ramadan No contest,0.00041904784
test_4,Is Doja Cat good or do you just miss Nicki Minaj,0.9995863
test_8,How Boris Johnson s cheery wounded in action persona may save him yet again Let s hope not Johnso,0.99345315
test_9,Man it s terrible Not even a reason to get on here until sports start back,0.97432965
test_10,The month starts with mercy and blessings going with forgiveness and ends at freedom from hellfire is the only one Ramadan,0.9988047
test_11,Everyone must do their part Breakfast and Sweet Tea Family comes first No snooze button Work now travel later Have fun while,0.99123025
test_14,Friends come together to get free food across US from farms to those in need ABC News via,0.00039056235
test_16,There are two confirmed cases at MSP1 some fear Amazon is hiding others The elimination of unlimited unpaid time,0.00041686647
test_19,Let s protect our mother Nature,0.9993529
test_20,I felt like it was the right time Cole Hults reflects on departing Penn State men s hockey for the NHL,0.0029553445
test_22,Biodiversity is key to maintaining the health of people animals amp the environment Learn about the delicate relationship betw,0.99867
test_23,Vanquish the Australia and New Zealand Aim to Show the Way,0.0006894427
test_24,What are we talking about Michael is everywhere in the world MJISRL FanClub MJISRL They don t care about us in,0.9995702
test_26, is ravaging one of the country s wealthiest black counties,0.0009659717
test_27,Kashmiri students labour and traders who strand in India due to are facing attacks by RSS and B,0.99770373
test_28,Hear from Diogo Jota as he reflects on a 4 1 semi final win setting up a final against Trent Alexander Arnold Who are yo,0.9771528
test_30,Check out my Gig on Fiverr create a php or python web scraping service fo any webpage,0.00040732633
test_33,Sports Baller 1 of the best players to play outside of the MLS,0.9995678
test_34,rabail CM Sindh Sharing Detailed Report on of 61days from 26 feb to 26April https,0.00045364344
test_35,Here is the chart of Maryland cases and deaths by County Prince George s has the highest concentration by far more than 1 in every 200 people in PG has a confirmed test Kent and Charles are notable for how high up the list they are,0.9720809
test_36,How can abandon the state that gave him 5m votes in 2015 It s not true He was thinking it was just typhoid and meningitis Or is it,0.9978097
test_37,Dentsu postpones Q1 financial results due to  impact,0.99820936
test_40,Under aswjpak 3 Ramadan will be Youm e WisaL by Syeda Fatima throughout the country using this hashtag to pay trib,0.9986725
test_41,Pandemic restaurants are continuing to order raw ingredients and pantry items from their suppliers to resell them to locals,0.0003538902
test_42,And look who did things right as we have shut down our economy and have had liberal Govenors states like Gestapos Sweden s s,0.9995172
test_43,What happens when out of unhealthy fear our irreparably destroys our economy and we can no longer find food gas or a hospital open The blind leading the blind yelling The Sky is Falling,0.0002670863
test_44,What does this task force do Ensure that everyone gets their fair share of the flu,0.00071458006
test_45,If you continuously Praise Sayyidah F imah al Zahr then you will have dreams about her and in that there is much bles,0.00069218664
test_46,Day 36 If was a color,0.99922097
